rule_id,subject,run,condition,configuration_id,feature_name,feature_unit,smoothing_id,threshold_id,threshold_value,dwell_updates,nominal_confirmation_span_sec,run_start_time_sec,run_end_time_sec,recording_duration_sec,decision_update_count,first_decision_time_sec,last_decision_time_sec,unavailable_evidence_count,first_processed_feature_time_sec,initial_stop_update_count,initial_stop_duration_sec,first_active_command_time_sec,first_active_command,final_command_state,low_evidence_count,high_evidence_count,low_evidence_fraction,high_evidence_fraction,evidence_transition_count,cmd_stop_count,cmd_open_count,cmd_close_count,active_switch_count,active_switch_times_sec,unconfirmed_candidate_update_count,unconfirmed_candidate_times_sec,command_episode_count,active_command_episode_count,short_active_episode_max_duration_sec,short_active_command_episode_count,shortest_active_episode_duration_sec,longest_active_episode_duration_sec,stop_duration_sec,open_duration_sec,close_duration_sec,stop_duration_fraction,open_duration_fraction,close_duration_fraction
thr-eo-q95__smooth-median3__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,3,2.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,4,6.0,6.0,CMD_CLOSE,CMD_CLOSE,0,57,0.0,1.0,0,4,0,55,0,,0,,2,1,2.0,0,54.0,54.0,6.0,0.0,54.0,0.1,0.0,0.9
thr-gap-mid__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_OPEN,CMD_OPEN,58,1,0.9830508474576272,0.01694915254237288,2,0,58,1,2,26.0;27.0,0,,4,3,2.0,1,1.0,33.0,2.0,57.0,1.0,0.03333333333333333,0.95,0.016666666666666666
thr-gap-mid__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_CLOSE,CMD_CLOSE,0,59,0.0,1.0,0,0,0,59,0,,0,,2,1,2.0,0,58.0,58.0,2.0,0.0,58.0,0.03333333333333333,0.0,0.9666666666666667
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,1,3.0,3.0,CMD_OPEN,CMD_OPEN,58,1,0.9830508474576272,0.01694915254237288,2,1,58,0,0,,1,26.0,2,1,2.0,0,57.0,57.0,3.0,57.0,0.0,0.05,0.95,0.0
thr-gap-mid__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,1,3.0,3.0,CMD_CLOSE,CMD_CLOSE,0,59,0.0,1.0,0,1,0,58,0,,0,,2,1,2.0,0,57.0,57.0,3.0,0.0,57.0,0.05,0.0,0.95
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,2,4.0,4.0,CMD_OPEN,CMD_OPEN,58,1,0.9830508474576272,0.01694915254237288,2,2,57,0,0,,1,26.0,2,1,2.0,0,56.0,56.0,4.0,56.0,0.0,0.06666666666666667,0.9333333333333333,0.0
thr-gap-mid__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,2,4.0,4.0,CMD_CLOSE,CMD_CLOSE,0,59,0.0,1.0,0,2,0,57,0,,0,,2,1,2.0,0,56.0,56.0,4.0,0.0,56.0,0.06666666666666667,0.0,0.9333333333333333
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,2,4.0,4.0,CMD_OPEN,CMD_OPEN,57,0,1.0,0.0,0,2,57,0,0,,0,,2,1,2.0,0,56.0,56.0,4.0,56.0,0.0,0.06666666666666667,0.9333333333333333,0.0
thr-gap-mid__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,2,4.0,4.0,CMD_CLOSE,CMD_CLOSE,0,57,0.0,1.0,0,2,0,57,0,,0,,2,1,2.0,0,56.0,56.0,4.0,0.0,56.0,0.06666666666666667,0.0,0.9333333333333333
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,3,5.0,5.0,CMD_OPEN,CMD_OPEN,57,0,1.0,0.0,0,3,56,0,0,,0,,2,1,2.0,0,55.0,55.0,5.0,55.0,0.0,0.08333333333333333,0.9166666666666666,0.0
thr-gap-mid__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,3,5.0,5.0,CMD_CLOSE,CMD_CLOSE,0,57,0.0,1.0,0,3,0,56,0,,0,,2,1,2.0,0,55.0,55.0,5.0,0.0,55.0,0.08333333333333333,0.0,0.9166666666666666
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,4,6.0,6.0,CMD_OPEN,CMD_OPEN,57,0,1.0,0.0,0,4,55,0,0,,0,,2,1,2.0,0,54.0,54.0,6.0,54.0,0.0,0.1,0.9,0.0
thr-gap-mid__smooth-median3__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,4,6.0,6.0,CMD_CLOSE,CMD_CLOSE,0,57,0.0,1.0,0,4,0,55,0,,0,,2,1,2.0,0,54.0,54.0,6.0,0.0,54.0,0.1,0.0,0.9
thr-ec-q05__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_OPEN,CMD_OPEN,59,0,1.0,0.0,0,0,59,0,0,,0,,2,1,2.0,0,58.0,58.0,2.0,58.0,0.0,0.03333333333333333,0.9666666666666667,0.0
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,0,2.0,2.0,CMD_CLOSE,CMD_CLOSE,3,56,0.05084745762711865,0.9491525423728814,4,0,3,56,4,6.0;8.0;39.0;40.0,0,,6,5,2.0,2,1.0,31.0,2.0,3.0,55.0,0.03333333333333333,0.05,0.9166666666666666
thr-ec-q05__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,1,3.0,3.0,CMD_OPEN,CMD_OPEN,59,0,1.0,0.0,0,1,58,0,0,,0,,2,1,2.0,0,57.0,57.0,3.0,57.0,0.0,0.05,0.95,0.0
thr-ec-q05__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,1,3.0,3.0,CMD_CLOSE,CMD_CLOSE,3,56,0.05084745762711865,0.9491525423728814,4,1,2,56,2,7.0;9.0,3,6.0;8.0;39.0,4,3,2.0,1,2.0,51.0,3.0,2.0,55.0,0.05,0.03333333333333333,0.9166666666666666
thr-ec-q05__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,2,4.0,4.0,CMD_OPEN,CMD_OPEN,59,0,1.0,0.0,0,2,57,0,0,,0,,2,1,2.0,0,56.0,56.0,4.0,56.0,0.0,0.06666666666666667,0.9333333333333333,0.0
thr-ec-q05__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,0,2.0,2,4.0,4.0,CMD_CLOSE,CMD_CLOSE,3,56,0.05084745762711865,0.9491525423728814,4,2,0,57,0,,3,6.0;7.0;39.0,2,1,2.0,0,56.0,56.0,4.0,0.0,56.0,0.06666666666666667,0.0,0.9333333333333333
thr-ec-q05__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,2,4.0,4.0,CMD_OPEN,CMD_OPEN,57,0,1.0,0.0,0,2,57,0,0,,0,,2,1,2.0,0,56.0,56.0,4.0,56.0,0.0,0.06666666666666667,0.9333333333333333,0.0
thr-ec-q05__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,0.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,2,4.0,4.0,CMD_CLOSE,CMD_CLOSE,2,55,0.03508771929824561,0.9649122807017544,2,2,2,55,2,7.0;9.0,0,,4,3,2.0,1,2.0,51.0,4.0,2.0,54.0,0.06666666666666667,0.03333333333333333,0.9
thr-ec-q05__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,3,5.0,5.0,CMD_OPEN,CMD_OPEN,57,0,1.0,0.0,0,3,56,0,0,,0,,2,1,2.0,0,55.0,55.0,5.0,55.0,0.0,0.08333333333333333,0.9166666666666666,0.0
thr-ec-q05__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,2,1.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,3,5.0,5.0,CMD_CLOSE,CMD_CLOSE,2,55,0.03508771929824561,0.9649122807017544,2,3,2,54,2,8.0;10.0,2,7.0;9.0,4,3,2.0,1,2.0,50.0,5.0,2.0,53.0,0.08333333333333333,0.03333333333333333,0.8833333333333333
thr-ec-q05__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,4,6.0,6.0,CMD_OPEN,CMD_OPEN,57,0,1.0,0.0,0,4,55,0,0,,0,,2,1,2.0,0,54.0,54.0,6.0,54.0,0.0,0.1,0.9,0.0
thr-ec-q05__smooth-median3__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,3,2.0,0.0,60.0,60.0,59,2.0,60.0,2,4.0,4,6.0,6.0,CMD_CLOSE,CMD_CLOSE,2,55,0.03508771929824561,0.9649122807017544,2,4,0,55,0,,2,7.0;8.0,2,1,2.0,0,54.0,54.0,6.0,0.0,54.0,0.1,0.0,0.9
